"cycle","variable_name","variable_label","has_value_labels","n_value_labels"
"2013-2014","MDB_4","Freq./felt depressed or very unhappy",TRUE,7
"2013-2014","MDB_5","Freq./felt pleased something accomplish",TRUE,7
"2013-2014","MDB_6","Freq./felt bored",TRUE,7
"2013-2014","MDB_7","Freq./felt proud",TRUE,7
"2013-2014","MDB_8","Freq./felt so restless",TRUE,7
"2013-2014","MDB_9","Freq./felt things were going your way",TRUE,7
"2010-2011","MEXDEBF2","Duration of exclusive breastfeeding- (D)",TRUE,13
"2013-2014","MEXDEBF2","Length of exclusive breastfeeding (D)",TRUE,13
"2010-2011","MEXFEB6","Exclus. breastfeed for at least 6 months",TRUE,6
"2013-2014","MEXFEB6","Exclus. breastfeed for at least 6 months",TRUE,6
"2010-2011","MEXG04","Reason did not breastfeed - (G)",TRUE,12
